Timestamp,Where do you live? (City)  ,What nights did you attend CHUR BURN 2018?,Would you buy a double ticket next year?,How safe did you feel during Chur Burn?,"Were you aware of the roaming Good Time Patrol (GTP), dressed in yellow? ",What do you love/value most about Chur Burn?,What do you dislike? What could we lose?,What could we add or improve to make Chur Burn even better?,Have you ever been to Kiwiburn?,How about a Chur Festival - Would you be interested in attending?,What kind of Chur festival?,How far would you realistically travel for a Chur festival?,Any other feedback about Chur Burn? We always hold space for any kind of feedback
2018/04/27 12:02:50 pm GMT+12,Wellington,BOTH!,I could probably do a third night,7,I knew about them but didn't see them,"Shit... The costumes and partying energy and production is awesome, but I think the most I love the gender balance and the focus on respect and consent. It enables peeps to feel safe and be themselves or express their bodies in ways that aren't usually safe!",Um.. I only got there late both nights due to other commitments and I just wanted more,"I'll have to think about that. I already did but nothing came to mind. Perhaps I need breakfast.. OH so I have a friend who works at Fidel's who mentioned that the burner crew are quite difficult customers. A bit self important maybe. I think alternate ideas are awesome to explore and live by but perhaps there's a sense of pride and importance that can come along with it? I'm guessing here, need to pick her brains on that one and I could be off, but I think that's it. Perhaps a little soft reminder to attendees to be nice to hospo peeps who feed them for breakfast would be cool.",Not yet,7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,Great froth. Cheers fellas and fellesses. Looking forward to more!
2018/04/27 12:30:23 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,"Yeah, they were easy to recognise and saw them a lot","Seeing many lovely people, amazing costumes, snugs, love all around",Loud pumping music in the larger snug space kinder made it harder to have conversations and to be more relaxed when trying to take a break from too much stimulation,More snug space - take away the tables in the corner and the DJ booth to make more snug space,"Yes, 2 to 5 times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,"What kind of process do you have for any misconduct and consent/boundary violations after the event if it has been reported to you? Do you work with the conduct committee of Kiwiburn since this is a ""burner event""? Could that be a thing to help keep future events and our community safer?"
2018/04/30 2:25:35 pm GMT+12,auckland,BOTH!,I went TWO nights and would do two nights again next year,6,I saw them once or twice,to reconnect with the welly burner folk,"i only heard about the harm reduction session after chur, it must have been difficult to find a way to spread the word without posting on a public forum like facebook, any other ways to let people know that testing was available?",a venue upgrade perhaps? it felt a bit crowded with more humans in attendance in the current venue,"Yes, 2 to 5 times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",up to 4.0 hrs,
2018/04/30 2:28:05 pm GMT+12,Tauranga,BOTH!,I could probably do a third night,7,I saw them once or twice,feeling of community and being part of something that has the potential to change the world,less moop and making sure that people take responsibility for their own moop. ,"recycling bins, ask people to bring their own cups and reusable ear plugs","Yes, once",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,You are awesome! ;)
2018/04/30 3:35:02 pm GMT+12,ANTWERP ,Saturday only,One night was enough for me,7,"Yeah, they were easy to recognise and saw them a lot",The good cuddles ,,More fresh air on the dance floor ventilators and more free water stations!!!,Not yet,7,"A Weekend Doof (camping, bass music, dancing)",up to 4.0 hrs,
2018/04/30 4:03:08 pm GMT+12,Wellywood,Friday only,"I went ONE night, but would go for two nights next year;I could probably do a third night",7,I saw them once or twice,BURNERS! it provides such a nice opportunity to decompress after the festival season,too bright lighting in the main deck bar area ,,Not yet,7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 1 hr,
2018/05/01 5:32:55 pm GMT+12,Wellington,Saturday only,One night was enough for me,5,"Yeah, they were easy to recognise and saw them a lot",Mix of people/ decorations,It's meant to be about community. More food could promote a better sense of community/ opportunity to socialise,Bag checks on the door.,"Yes, once",,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 1.5 hrs,
2018/05/01 5:33:40 pm GMT+12,Wellington ,Friday only,"I went ONE night, but would go for two nights next year",7,"Yeah, they were easy to recognise and saw them a lot",Everyone was so welcoming and happy,More hydration stations ,Have it more often!,"Yes, once",7,"A Weekend Doof (camping, bass music, dancing)",up to 2.0 hrs,
2018/05/01 5:39:23 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,"Yeah, they were easy to recognise and saw them a lot",Music,Not sure,I think only small tweaks... mostly I think it's perfect,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,Keep doing it
2018/05/01 5:48:26 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,6,"Yeah, they were easy to recognise and saw them a lot",Consent culture!,,"Keep the vibe upbeat downstairs, friday night lost that through the music for a little bit. That's just me though :D","Yes, once",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,You guys are awesome!
2018/05/01 5:50:35 pm GMT+12,Lower hutt,BOTH!,I went TWO nights and would do two nights again next year,6,"Yeah, they were easy to recognise and saw them a lot",Cool people to chat to,Excessive sexualisation.,Not sure ...,"Yes, 2 to 5 times",5,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,"A number of people seem to have social anxiety, and often deal using inebriants.  Some attempt to create spaces/experiences that build and extend social connections might help everyone "
2018/05/01 5:56:11 pm GMT+12,Wellington,BOTH!,I don't mind either way,7,I saw them once or twice,Self expression,I don't have anything,More pillows in the pillow fort?,Not yet,7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 1 hr,It was my first burn event ever. Very impressed with everyone's efforts. I wish there was something special for newbies like me. I felt like a stranger some times when everyone else sort of knew each other. Maybe it was my mistake and I didn't open up enough. I guess I'm still learning :)
2018/05/01 6:09:17 pm GMT+12,Welllington,Saturday only,"I went ONE night, but would go for two nights next year;One night was enough for me",7,I saw them once or twice,The acceptance/welcoming culture ,There were no features that caused me any negative feelings ,Make a better coat check system. Racks frequently fell down which made it hard to know what belonged to who,Not yet,7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 4.0 hrs,I love you all
2018/05/01 6:36:34 pm GMT+12,Wellington,Saturday only,One night was enough for me,7,I saw them once or twice,Safe happy place and people to party with,I would like more genres of house music. Perhaps a second zone or half house half bass music on main floor,More house music,"Yes, 5 or more times",4,"A Weekend Doof (camping, bass music, dancing)",up to 3.0 hrs,
